
x=-4.461062  erro_sin=1.110223e-16
x=-4.448495  erro_sin=1.110223e-16
x=-4.435929  erro_sin=0.000000e+00
x=-4.423362  erro_sin=0.000000e+00
x=-4.410796  erro_sin=1.110223e-16
x=-4.398230  erro_sin=1.110223e-16
x=-4.385663  erro_sin=1.110223e-16
x=-4.373097  erro_sin=1.110223e-16
x=-4.360531  erro_sin=1.110223e-16
x=-4.347964  erro_sin=1.110223e-16
x=-4.335398  erro_sin=1.110223e-16
x=-4.322831  erro_sin=0.000000e+00
x=-4.310265  erro_sin=1.110223e-16
x=-4.297699  erro_sin=1.110223e-16
x=-4.285132  erro_sin=2.220446e-16
x=-4.272566  erro_sin=1.110223e-16
x=-4.260000  erro_sin=3.330669e-16
x=-4.247433  erro_sin=3.330669e-16
x=-4.234867  erro_sin=4.440892e-16
x=-4.222301  erro_sin=6.661338e-16
x=-4.209734  erro_sin=8.881784e-16
x=-4.197168  erro_sin=1.110223e-15
x=-4.184601  erro_sin=1.554312e-15
x=-4.172035  erro_sin=2.220446e-15
x=-4.159469  erro_sin=2.997602e-15
x=-4.146902  erro_sin=3.996803e-15
x=-4.134336  erro_sin=5.440093e-15
x=-4.121770  erro_sin=7.327472e-15
x=-4.109203  erro_sin=9.769963e-15
x=-4.096637  erro_sin=1.298961e-14
x=-4.084070  erro_sin=1.720846e-14
x=-4.071504  erro_sin=2.264855e-14
x=-4.058938  erro_sin=2.975398e-14
x=-4.046371  erro_sin=3.885781e-14
x=-4.033805  erro_sin=5.040413e-14
x=-4.021239  erro_sin=6.505907e-14
x=-4.008672  erro_sin=8.382184e-14
x=-3.996106  erro_sin=1.071365e-13
x=-3.983539  erro_sin=1.367795e-13
x=-3.970973  erro_sin=1.737499e-13
x=-3.958407  erro_sin=2.197131e-13
x=-3.945840  erro_sin=2.767786e-13
x=-3.933274  erro_sin=3.476108e-13
x=-3.920708  erro_sin=6.241452e-12
x=-3.908141  erro_sin=5.052625e-12
x=-3.895575  erro_sin=4.075962e-12
x=-3.883009  erro_sin=3.276157e-12
x=-3.870442  erro_sin=2.623568e-12
x=-3.857876  erro_sin=2.092770e-12
x=-3.845309  erro_sin=1.662892e-12
x=-3.832743  erro_sin=1.315614e-12
x=-3.820177  erro_sin=1.036615e-12
x=-3.807610  erro_sin=8.129053e-13
